Missouri-Kansas City,Green Bay,-18,-1.29,3.78,
Montana,Oral Roberts,21,1.18,-4.97,
Oral Roberts,Montana,-21,-4.97,1.18,
Texas,Northwestern,-19,-0.41,8.22,
Oregon,Georgetown,-4,15.14,4.42,
Central Michigan,Pepperdine,11,4.04,-10.89,
Pepperdine,Central Michigan,-11,-10.89,4.04,
Georgetown,Oregon,4,4.42,15.14,
Louisiana-Monroe,Seattle,-6,-2.89,-0.27,
Vermont,Wofford,1,10.31,3.34,
Tennessee,Wisconsin,-12,3.44,12.65,
Wisconsin,Tennessee,12,12.65,3.44,
Wofford,Vermont,-1,3.34,10.31,
Loyola (IL),Washington State,9,7.32,-6.04,
Washington State,Loyola (IL),-9,-6.04,7.32,
Seattle,Louisiana-Monroe,6,-0.27,-2.89,
Kent State,South Dakota,-3,4.93,3.93,
South Dakota,Kent State,3,3.93,4.93,
Arkansas-Little Rock,St. Bonaventure,3,0.85,5.12,
St. Bonaventure,Arkansas-Little Rock,-3,5.12,0.85,
Coastal Carolina,Southern Utah,15,-0.59,-7.30,
Southern Utah,Coastal Carolina,-15,-7.30,-0.59,
Green Bay,Missouri-Kansas City,18,3.78,-1.29,
Oklahoma State,Connecticut,8,8.44,2.28,
Ball State,Coppin State,2,4.59,-13.75,
Coppin State,Ball State,-2,-13.75,4.59,
Colorado,Notre Dame,-6,3.57,9.82,
Notre Dame,Colorado,6,9.82,3.57,
Connecticut,Oklahoma State,-8,2.28,8.44,
Kansas,Alabama-Birmingham,20,10.74,2.59,
Alabama,Valparaiso,-8,4.19,6.89,
Valparaiso,Alabama,8,6.89,4.19,
Alabama-Birmingham,Kansas,-20,2.59,10.74,
Hofstra,Bradley,2,0.17,-5.86,
Brigham Young,Saint Louis,30,7.93,-9.19,
Saint Louis,Brigham Young,-30,-9.19,7.93,
Bradley,Hofstra,-2,-5.86,0.17,
Creighton,Mississippi,9,12.35,1.70,
Maine,Long Island University,-5,-9.28,1.83,
Long Island University,Maine,5,1.83,-9.28,
Belmont,Florida,-17,7.16,13.67,
Mississippi,Creighton,-9,1.70,12.35,
Florida,Belmont,17,13.67,7.16,
Houston,George Mason,37,10.93,4.81,
George Washington,Georgia,-8,-1.12,2.59,
Georgia,George Washington,8,2.59,-1.12,
George Mason,Houston,-37,4.81,10.93,
North Carolina,Oklahoma State,32,15.89,8.44,
NJIT,Georgia State,-21,-1.28,4.62,
Oklahoma State,North Carolina,-32,8.44,15.89,
Georgia State,NJIT,21,4.62,-1.28,
Tennessee,Oregon,-4,3.44,15.14,
Arkansas-Little Rock,Pepperdine,-1,0.85,-10.89,
Northwestern,Notre Dame,-4,8.22,9.82,
Oregon,Tennessee,4,15.14,3.44,
Notre Dame,Northwestern,4,9.82,8.22,
Mississippi Valley State,Massachusetts-Lowell,-5,-15.41,-2.57,
Massachusetts-Lowell,Mississippi Valley State,5,-2.57,-15.41,
Pepperdine,Arkansas-Little Rock,1,-10.89,0.85,
Texas Tech,Auburn,-2,8.56,0.30,
Auburn,Texas Tech,2,0.30,8.56,
Purdue,Utah State,21,15.26,1.74,
Utah State,Purdue,-21,1.74,15.26,
St. Bonaventure,Central Michigan,31,5.12,4.04,
Central Michigan,St. Bonaventure,-31,4.04,5.12,
Louisiana-Monroe,Bryant,-7,-2.89,-3.24,
Bryant,Louisiana-Monroe,7,-3.24,-2.89,
Texas,Colorado,-14,-0.41,3.57,
Eastern Kentucky,Idaho State,9,-4.83,-9.88,
Colorado,Texas,14,3.57,-0.41,
Wofford,Bradley,-8,3.34,-5.86,
Bradley,Wofford,8,-5.86,3.34,
Idaho State,Eastern Kentucky,-9,-9.88,-4.83,
Houston,South Dakota,27,10.93,3.93,
Vermont,Hofstra,14,10.31,0.17,
South Dakota,Houston,-27,3.93,10.93,
Hofstra,Vermont,-14,0.17,10.31,
George Mason,Kent State,4,4.81,4.93,
Kent State,George Mason,-4,4.93,4.81,
Kansas,Georgia,11,10.74,2.59,
Georgia,Kansas,-11,2.59,10.74,
George Washington,Alabama-Birmingham,-7,-1.12,2.59,
Alabama-Birmingham,George Washington,7,2.59,-1.12,
Wisconsin,Georgetown,16,12.65,4.42,
Georgetown,Wisconsin,-16,4.42,12.65,
Oklahoma State,Georgetown,27,8.44,4.42,
Louisville,Old Dominion,6,13.67,3.27,
Old Dominion,Louisville,-6,3.27,13.67,
Georgetown,Oklahoma State,-27,4.42,8.44,
Purdue,Auburn,25,15.26,0.30,
Auburn,Purdue,-25,0.30,15.26,
Pepperdine,St. Bonaventure,-26,-10.89,5.12,
St. Bonaventure,Pepperdine,26,5.12,-10.89,
Nevada,Oakland,4,7.48,7.96,
Wichita State,Louisiana State,35,19.34,-7.65,
Oakland,Nevada,-4,7.96,7.48,
North Carolina,Wisconsin,15,15.89,12.65,
Wisconsin,North Carolina,-15,12.65,15.89,
Texas Tech,Utah State,24,8.56,1.74,
St. John's (NY),Michigan State,-11,0.63,2.56,
Utah State,Texas Tech,-24,1.74,8.56,
Virginia Commonwealth,Baylor,-8,9.56,11.22,
Baylor,Virginia Commonwealth,8,11.22,9.56,
Ball State,Southern Utah,11,4.59,-7.30,
Southern Utah,Ball State,-11,-7.30,4.59,
Michigan State,St. John's (NY),11,2.56,0.63,
South Dakota,Hofstra,-8,3.93,0.17,
Hofstra,South Dakota,8,0.17,3.93,
Connecticut,Oregon,-10,2.28,15.14,
Oregon,Connecticut,10,15.14,2.28,
Brigham Young,Valparaiso,-3,7.93,6.89,
Valparaiso,Brigham Young,3,6.89,7.93,
Alabama,Saint Louis,5,4.19,-9.19,
Saint Louis,Alabama,-5,-9.19,4.19,
Central Michigan,Arkansas-Little Rock,-12,4.04,0.85,
Arkansas-Little Rock,Central Michigan,12,0.85,4.04,
Kent State,Wofford,7,4.93,3.34,
Vermont,Houston,-1,10.31,10.93,
Idaho State,NJIT,-4,-9.88,-1.28,
NJIT,Idaho State,4,-1.28,-9.88,
Wofford,Kent State,-7,3.34,4.93,
Louisiana State,Wichita State,-35,-7.65,19.34,
Illinois-Chicago,Elon,-11,2.15,3.28,
Elon,Illinois-Chicago,11,3.28,2.15,
Eastern Kentucky,Georgia State,-17,-4.83,4.62,
Georgia State,Eastern Kentucky,17,4.62,-4.83,
Houston,Vermont,1,10.93,10.31,
George Mason,Bradley,11,4.81,-5.86,
Bradley,George Mason,-11,-5.86,4.81,
Sacred Heart,Northern Colorado,-22,-3.14,-3.65,
Northern Colorado,Sacred Heart,22,-3.65,-3.14,
Portland,UCLA,-22,-5.93,16.56,
Butler,Vanderbilt,10,8.58,1.81,
UCLA,Portland,22,16.56,-5.93,
Quinnipiac,Gonzaga,-20,-5.04,23.71,
Nebraska,Dayton,2,-0.15,11.27,
Dayton,Nebraska,-2,11.27,-0.15,
Louisiana State,Old Dominion,6,-7.65,3.27,
Gonzaga,Quinnipiac,20,23.71,-5.04,
Old Dominion,Louisiana State,-6,3.27,-7.65,
Illinois,West Virginia,-32,1.81,18.85,
Weber State,UC-Davis,28,7.92,1.59,
West Virginia,Illinois,32,18.85,1.81,
Wichita State,Louisville,-10,19.34,13.67,
Louisville,Wichita State,10,13.67,19.34,
UC-Davis,Weber State,-28,1.59,7.92,
St. John's (NY),Virginia Commonwealth,-6,0.63,9.56,
Vanderbilt,Butler,-10,1.81,8.58,
Virginia Commonwealth,St. John's (NY),6,9.56,0.63,
Virginia Tech,New Mexico,20,5.19,1.96,
New Mexico,Virginia Tech,-20,1.96,5.19,
Norfolk State,Bucknell,-26,-1.96,6.79,
Bucknell,Norfolk State,26,6.79,-1.96,
Cal State Northridge,Texas A&M,-22,-2.32,3.69,
Florida,Seton Hall,5,13.67,2.96,
